Date,Open,High,Low,Close
2/14/21,0.0663,0.0665,0.0556,0.0627
2/15/21,0.0627,0.0641,0.0467,0.0564
2/16/21,0.0565,0.0598,0.0507,0.0535
2/17/21,0.0534,0.0551,0.0479,0.0495
2/18/21,0.0496,0.0658,0.0489,0.0588
2/19/21,0.0591,0.0597,0.0538,0.055
2/20/21,0.0552,0.0609,0.0508,0.0542
2/21/21,0.0541,0.0598,0.0534,0.0561
2/22/21,0.0562,0.0608,0.0482,0.0537
2/23/21,0.0537,0.0538,0.0415,0.0476
2/24/21,0.0472,0.0604,0.0459,0.0568
2/25/21,0.0568,0.058,0.0496,0.0499
2/26/21,0.05,0.0527,0.0485,0.0506
2/27/21,0.0506,0.0521,0.0492,0.0502
2/28/21,0.0501,0.0502,0.0448,0.0483
3/1/21,0.0483,0.0524,0.048,0.0506
3/2/21,0.0506,0.0525,0.0491,0.0503
3/3/21,0.0503,0.0522,0.05,0.0505
3/4/21,0.0505,0.0512,0.0477,0.05
3/5/21,0.05,0.051,0.048,0.0496
3/6/21,0.0496,0.0525,0.0492,0.051
3/7/21,0.051,0.0524,0.0506,0.0519
3/8/21,0.052,0.0633,0.0516,0.0632
3/9/21,0.0631,0.0631,0.056,0.058
3/10/21,0.058,0.0587,0.0546,0.056
3/11/21,0.0559,0.0569,0.0543,0.0559
3/12/21,0.0561,0.057,0.0542,0.0553
3/13/21,0.0553,0.063,0.0546,0.0627
3/14/21,0.0627,0.0635,0.0583,0.0583
3/15/21,0.0583,0.0598,0.055,0.057
3/16/21,0.0571,0.0591,0.0553,0.0586
3/17/21,0.0586,0.0589,0.0566,0.0579
3/18/21,0.0579,0.0592,0.057,0.0573
3/19/21,0.0573,0.0598,0.0565,0.0583
3/20/21,0.0582,0.0608,0.058,0.0588
3/21/21,0.0588,0.0595,0.0568,0.0575
3/22/21,0.0576,0.0579,0.0546,0.055
3/23/21,0.0549,0.0561,0.0527,0.0534
3/24/21,0.0534,0.0567,0.0509,0.0516
3/25/21,0.0515,0.0525,0.0497,0.0513
3/26/21,0.0513,0.0541,0.0513,0.0539
3/27/21,0.0541,0.0554,0.0534,0.0544
3/28/21,0.0544,0.0548,0.053,0.0537
3/29/21,0.0537,0.0547,0.0532,0.0541
3/30/21,0.0541,0.0558,0.0537,0.0541
3/31/21,0.0541,0.0545,0.0517,0.0538
4/1/21,0.0538,0.071,0.0537,0.0621
4/2/21,0.0622,0.0629,0.0572,0.0577
4/3/21,0.0577,0.0595,0.0556,0.0556
4/4/21,0.0556,0.0582,0.0551,0.0575
4/5/21,0.0575,0.0606,0.0563,0.0599
4/6/21,0.06,0.0653,0.058,0.0644
4/7/21,0.0644,0.0673,0.0572,0.0587
4/8/21,0.0591,0.0622,0.0588,0.0619
4/9/21,0.0619,0.0642,0.0606,0.0617
4/10/21,0.0616,0.065,0.061,0.0638
4/11/21,0.0639,0.08,0.0634,0.0743
4/12/21,0.0744,0.0753,0.0687,0.0707
4/13/21,0.0707,0.096,0.0706,0.0943
4/14/21,0.0943,0.145,0.0923,0.1213
4/15/21,0.1427,0.196,0.1252,0.19
4/16/21,0.189,0.4505,0.1694,0.3501
4/17/21,0.355,0.399,0.2319,0.3031
4/18/21,0.3051,0.35,0.2415,0.3357
4/19/21,0.339,0.435,0.3102,0.3902
4/20/21,0.385,0.424,0.2992,0.2994
4/21/21,0.299,0.3498,0.2735,0.3132
4/22/21,0.3147,0.3323,0.2581,0.268
4/23/21,0.2672,0.2753,0.1651,0.2372
4/24/21,0.2392,0.2889,0.229,0.2788
4/25/21,0.2786,0.2895,0.2411,0.2438
4/26/21,0.2451,0.2807,0.2255,0.2666
4/27/21,0.2662,0.2798,0.2598,0.2706
4/28/21,0.27,0.3417,0.2569,0.3065
4/29/21,0.3076,0.3263,0.2973,0.3042
4/30/21,0.3036,0.3398,0.3031,0.3293
5/1/21,0.3291,0.3734,0.3276,0.3652
5/2/21,0.3652,0.3999,0.363,0.3885
5/3/21,0.3885,0.424,0.3741,0.4232
5/4/21,0.423,0.6077,0.4025,0.5496
5/5/21,0.552,0.6953,0.5218,0.6011
5/6/21,0.6044,0.6733,0.54,0.5925
5/7/21,0.5923,0.6581,0.52,0.6525
5/8/21,0.6476,0.7387,0.603,0.6743
5/9/21,0.6729,0.7,0.4245,0.568
5/10/21,0.5719,0.5897,0.425,0.4589
5/11/21,0.4539,0.546,0.4356,0.5084
5/12/21,0.5096,0.5336,0.4348,0.4722
5/13/21,0.4707,0.4741,0.3533,0.3968
5/14/21,0.3968,0.5914,0.3952,0.5367
5/15/21,0.5336,0.5707,0.4944,0.5153
5/16/21,0.5154,0.5468,0.4881,0.4908
5/17/21,0.49,0.53,0.4507,0.4968
5/18/21,0.4958,0.5147,0.47,0.4769
5/19/21,0.477,0.4825,0.25,0.3484
5/20/21,0.3484,0.436,0.2967,0.3989
5/21/21,0.4001,0.4146,0.3324,0.3324
5/22/21,0.3326,0.361,0.3145,0.3443
5/23/21,0.3442,0.3624,0.25,0.3015
5/24/21,0.3002,0.3713,0.2967,0.3584
5/25/21,0.3594,0.3799,0.3233,0.3376
5/26/21,0.3384,0.3666,0.337,0.344
5/27/21,0.3441,0.3547,0.3277,0.3308
5/28/21,0.3316,0.3457,0.3014,0.3121
5/29/21,0.3123,0.3177,0.2807,0.2946
5/30/21,0.2945,0.3107,0.2878,0.3045
5/31/21,0.3043,0.3268,0.2946,0.3225
6/1/21,0.3225,0.3458,0.3121,0.3415
6/2/21,0.3407,0.4445,0.3373,0.4115
6/3/21,0.4112,0.444,0.3776,0.4026
6/4/21,0.4027,0.4083,0.351,0.3839
6/5/21,0.384,0.3939,0.3634,0.3735
6/6/21,0.3724,0.3766,0.3601,0.372
6/7/21,0.372,0.3795,0.3434,0.346
6/8/21,0.3456,0.3476,0.2969,0.3344
6/9/21,0.3342,0.3528,0.3132,0.3398
6/10/21,0.3402,0.3491,0.3229,0.3277
6/11/21,0.3279,0.33,0.3136,0.3204
6/12/21,0.3204,0.3204,0.3023,0.3156
6/13/21,0.3156,0.3299,0.3083,0.3299
6/14/21,0.3307,0.3371,0.321,0.3232
6/15/21,0.3232,0.3308,0.3168,0.3192
6/16/21,0.3193,0.3219,0.3058,0.3102
6/17/21,0.3102,0.314,0.3026,0.3058
6/18/21,0.3058,0.3073,0.2798,0.2911
6/19/21,0.291,0.2988,0.2863,0.291
6/20/21,0.291,0.2913,0.2559,0.2872
6/21/21,0.2874,0.2892,0.2,0.211
6/22/21,0.2104,0.2165,0.1638,0.195
6/23/21,0.195,0.2478,0.1845,0.2199
6/24/21,0.2205,0.2578,0.2181,0.2557
6/25/21,0.2547,0.289,0.2293,0.2515
